fecha,producto,sku,precio_farmacity,lista_farmacity,precio_farmaplus,lista_farmaplus,precio_selma,lista_selma,precio_central_oeste,lista_central_oeste,precio_farmaonline,lista_farmaonline
2026-06-01,Dermaglós Protector Solar Facial Fluido Invisible FPS 50 50 g,7793742004933.0,20838.0,32058.0,18146.0,30244.0,20828.0,32058.85,19230.0,32050.0,20838.25,32058.85
2026-06-01,La Roche-Posay Toleriane Sensitive Hidratante 40 ml,3337875578486.0,72980.0,,54734.0,72979.0,54724.0,72979.0,72979.0,,72979.0,
2026-06-01,Caviahue Agua Termal Volcánica 170 ml,7798120265869.0,36000.0,,23400.0,36000.0,,,24150.0,34500.0,25200.0,36000.0
2026-06-01,Vichy Mineral 89 Concentrado Fortificante y Reconstituyente 50 ml,3337875543248.0,93505.0,,60605.0,86579.0,65443.0,93505.0,93500.0,,93505.0,
2026-06-01,Vichy Liftactiv Collagen Specialist 16 50 ml,3337875945851.0,123442.0,,86410.0,123443.0,86400.0,123443.0,123450.0,,123443.0,
2026-06-01,CeraVe Crema Hidratante 454 ml,3337875597388.0,59378.0,,47502.0,59377.0,47492.0,59377.0,59400.0,,59377.0,
2026-06-01,CeraVe Loción Hidratante 236 ml,3337875597210.0,32016.0,,25613.0,32016.0,25603.0,32016.0,32000.0,,32016.0,
2026-06-01,ISDIN Fusion Water Color FPS 50 50 ml,8429420154186.0,73446.0,,66100.0,73445.0,51397.0,73445.0,73450.0,,73445.12,
2026-06-01,Bioderma Atoderm Crème Ultra Hidratante 500 ml,3701129805343.0,,,,,,,76530.25,,49744.67,76530.26
2026-06-01,Bioderma Sensibio Gel Moussant 200 ml,3401381507565.0,,,,,52114.0,65146.59,65146.59,,52117.27,65146.59
2026-06-01,Eximia Hyalu Sensitive Gel Crema Facial 50 g,7798178624403.0,,,43200.0,48000.0,,,48000.0,,,
2026-06-01,Cepage Atophen Sensitive Emulsión 40 ml,7798178624328.0,38500.0,,34650.0,38500.0,,,38500.0,,,
2026-06-01,Eucerin Aquaphor Reparador de Labios SOS 10 ml,4005800268731.0,41947.0,,,,41947.0,,29365.0,41950.0,41946.99,
2026-06-01,Eucerin Sun Pigment Control FPS 50 50 ml,4005800241901.0,80837.0,,75901.0,,,,53130.0,75900.0,80834.3,
2026-06-01,Rayito de Sol Protector Solar Facial FPS 50 50 g,7796045102672.0,13321.0,17762.0,,,,,14000.0,17500.0,14209.28,17761.6
2026-06-01,Tortulán Crema Antiarrugas Contorno de Ojos 15 g,7796045750040.0,7699.0,10265.0,7720.0,10294.0,,,7672.0,9590.0,8234.8,10293.5
2026-06-01,Tortulán Physiologyque Serum Reparación Intensiva 30 ml,7796045750118.0,11104.0,14805.0,11105.0,14807.0,,,9646.0,13780.0,10364.9,14807.0
2026-06-01,Neutrogena Deep Clean Intensive Gel de Limpieza Facial Grapefruit 150 g,7891010972226.0,10295.0,,7026.0,9368.0,,,10300.0,,11212.31,
2026-06-01,Neutrogena Hydro Boost Water Gel 50 g,7891010882983.0,31201.0,,,,,,24400.0,30500.0,31200.78,
2026-06-01,Bagóvit A Emulsión Nutritiva Humectante 350 g,7790375267285.0,15187.0,23365.0,12980.0,21634.0,21634.0,,12500.4,20834.0,15187.25,23365.0
2026-06-01,Bagóvit Pro Bio Anti-Manchas FPS 40 Crema Facial 50 ml,7790375269357.0,18700.0,37401.0,20778.0,34630.0,,,33200.0,,24240.69,34629.55
2026-06-01,Avène Cicalfate Crema Reparadora 40 ml,7799075001380.0,45000.0,,40500.0,45000.0,,,45000.0,,45000.0,
2026-06-01,Aveno Emulsión Corporal Pieles Sensibles 400 ml,7793742004391.0,36975.0,52822.0,36975.0,52822.0,36965.0,52821.73,36995.0,52850.0,36975.21,52821.73
2026-06-01,A-Derma Exomega Control Crema Emoliente 400 ml,7798095419724.0,4895.0,9790.0,79200.0,88000.0,,,88000.0,,88000.0,
2026-06-01,Elvive Dream Liso Serum 100 ml,7509552979558.0,12993.0,19990.0,12993.0,19990.0,,,14137.5,21750.0,12993.5,19990.0
2026-06-01,Maybelline Lash Sensational Sky High Waterproof 7.2 ml,41554590500.0,28194.0,46990.0,,,,,30543.5,46990.0,30543.5,46990.0
2026-06-01,L'Oréal Paris Revitalift Retinol Día 50 ml,7509552898255.0,48990.0,,29394.0,48990.0,,,49000.0,,48990.0,
2026-06-01,Dove Sérum Corporal Tono Uniforme Niacinamida 400 ml,7506306252875.0,16841.0,25910.0,,,,,15540.0,25900.0,,
2026-06-01,AMPK Creatina HCL Ultra Concentrada 60 cápsulas,,53200.0,,,,37240.0,53200.0,37240.0,53200.0,,
2026-06-01,Ultraflex Gluco Colágeno Hidrolizado 15 sobres,7795371459672.0,26501.0,,20625.0,27500.0,23320.0,26500.0,26500.0,,28620.0,
2026-06-01,ENA Creatina Monohidrato Micronizada 300 g,7792981010026.0,32000.0,40000.0,30000.0,40000.0,30900.0,40000.0,32000.0,40000.0,34000.0,40000.0
2026-06-01,Cetaphil Crema Hidratante 453 g,3466320012838.0,57731.0,,40412.0,57731.0,,,40425.0,57750.0,57730.95,
2026-06-01,Cetaphil Limpiador Crema Espuma Hidratante 473 ml,3499320015615.0,51299.0,,34567.0,46090.0,,,35909.99,51299.99,51298.16,
2026-06-01,Nivea Sun Tono Medio,4006000172521.0,18420.0,,18420.0,28338.0,30515.0,,19399.8,32333.0,17046.33,26225.13
2026-06-01,Vichy Capital Soleil,3337875892308.0,58696.0,83852.0,58696.0,83852.0,60973.0,87118.0,,,58696.4,83852.0
2026-06-01,Caviahue Contorno de Ojos,7798120266446.0,41300.0,59000.0,,,41299.0,59000.0,41300.0,59000.0,41300.0,59000.0
2026-06-01,Maybelline Rubor Líquido Face Sunkisser,3600531694180.0,36990.0,,25893.0,36990.0,,,25893.0,36990.0,18495.0,36990.0
2026-06-01,Isdin Fusion Water Magic,8429420248977.0,47740.0,73446.0,47739.0,73445.0,47724.0,73445.0,47710.0,73400.0,47739.33,73445.12
2026-06-01,102 Magnesio Citrato Vitaminas Y Minerales Gummies 90 Unidades,7791984001529.0,16931.0,21164.0,15874.0,21166.0,17780.0,21166.79,14816.75,21166.78,21166.79,
2026-06-01,Serum Ojos Anti Ojeras Glycolic Bright L´Oreal Paris,7509552962512.0,42990.0,,42990.0,,,,47000.0,,42990.0,
2026-06-01,Brillo Labial Voluminizador Maybelline Lifter Plump,41554080704.0,23093.0,32990.0,23093.0,32990.0,,,23659.99,33799.99,23093.0,32990.0
2026-06-01,L'oréal Paris Revitalift Sérum Ácido Hialurónico 30ml,7509552843620.0,28194.0,46990.0,46990.0,,,,30500.4,50834.0,28194.0,46990.0
2026-06-01,Agua Micelar Skin Active Con Ácido Salicílico 400ml,7509552875416.0,21990.0,,15393.0,21990.0,,,,,15393.0,21990.0
2026-06-01,Oleo Capilar Elvive Oleo Extraordinario x100ml,7509552874204.0,19990.0,,19990.0,,,,13000.2,21667.0,9995.0,19990.0
2026-06-01,Leche Infantil Nutrilon Profutura 3 Pack 24 x 200 ml,7795323775348.0,67948.0,,33972.0,67944.0,33978.0,67956.0,67956.0,,34896.0,69792.0
2026-06-01,La Roche-Posay Hyalu B5 Serum Suractivado 30 ml,3337875920582.0,80941.0,134902.0,,,94421.0,134902.0,94431.4,134902.0,94431.4,134902.0
2026-06-01,Perpiel Emulsión Corporal Humectación Profunda con Fragancia 400 g,7792175010023.0,19996.0,,13997.0,19996.0,,,11997.37,19995.61,15116.68,21595.26
2026-06-01,La Roche-Posay Anthelios UV Air SPF 50 40 ml,3337875917810.0,37500.0,62500.0,,,37490.0,62500.0,37500.0,62500.0,37500.0,62500.0
2026-06-01,Megacistin Max Fortalecedor Anti-Caída 30 comprimidos,7791984000720.0,,,22181.0,31687.0,25350.0,31687.75,22181.43,31687.75,,
2026-06-01,Perpiel Contorno de Ojos Antiage 15 ml,7792175011365.0,30682.0,,,,,,30681.12,,,
2026-06-01,Dermaglós Protector Solar Facial Fluido Invisible FPS 50 50 g,7793742004933.0,20838.0,32058.0,15122.0,30244.0,22553.0,34719.74,19200.0,32000.0,22567.82,34719.73
2026-06-01,La Roche-Posay Toleriane Sensitive Hidratante 40 ml,3337875578486.0,54735.0,72980.0,54734.0,72979.0,54724.0,72979.0,58383.2,72979.0,54734.25,72979.0
2026-06-01,Caviahue Agua Termal Volcánica 170 ml,7798120265869.0,25200.0,36000.0,25200.0,36000.0,,,24000.2,34286.0,25200.0,36000.0
2026-06-01,Vichy Mineral 89 Concentrado Fortificante y Reconstituyente 50 ml,3337875543248.0,65453.0,93505.0,60605.0,86579.0,65443.0,93505.0,65450.0,93500.0,65453.5,93505.0
2026-06-01,Vichy Liftactiv Collagen Specialist 16 50 ml,3337875945851.0,86409.0,123442.0,86410.0,123443.0,86400.0,123443.0,86415.0,123450.0,86410.1,123443.0
2026-06-01,CeraVe Crema Hidratante 454 ml,3337875597388.0,47502.0,59378.0,47502.0,59377.0,47492.0,59377.0,47520.0,59400.0,47501.6,59377.0
2026-06-01,CeraVe Loción Hidratante 236 ml,3337875597210.0,25613.0,32016.0,25613.0,32016.0,25603.0,32016.0,25600.0,32000.0,25612.8,32016.0
2026-06-01,ISDIN Fusion Water Color FPS 50 50 ml,8429420154186.0,51412.0,73446.0,51411.0,73445.0,51397.0,73445.0,51415.0,73450.0,51411.58,73445.12
2026-06-01,Bioderma Atoderm Crème Ultra Hidratante 500 ml,3701129805343.0,,,,,,,76530.25,,76530.26,
2026-06-01,Bioderma Sensibio Gel Moussant 200 ml,3401381507565.0,65146.0,,,,52114.0,65146.59,65146.59,,52117.27,65146.59
2026-06-01,Eximia Hyalu Sensitive Gel Crema Facial 50 g,7798178624403.0,,,43200.0,48000.0,,,48000.0,,,
2026-06-01,Cepage Atophen Sensitive Emulsión 40 ml,7798178624328.0,38500.0,,34650.0,38500.0,,,38500.0,,,
2026-06-01,Eucerin Aquaphor Reparador de Labios SOS 10 ml,4005800268731.0,41947.0,,,,41947.0,,41950.0,,33557.59,41946.99
2026-06-01,Eucerin Sun Pigment Control FPS 50 50 ml,4005800241901.0,80837.0,,68311.0,75901.0,,,75900.0,,80834.3,
2026-06-01,Rayito de Sol Protector Solar Facial FPS 50 50 g,7796045102672.0,19539.0,,,,,,17500.0,,19538.1,
2026-06-01,Tortulán Crema Antiarrugas Contorno de Ojos 15 g,7796045750040.0,11324.0,,10294.0,,,,7600.0,9500.0,8492.78,11323.7
2026-06-01,Tortulán Physiologyque Serum Reparación Intensiva 30 ml,7796045750118.0,16288.0,,11105.0,14807.0,,,9650.2,13786.0,11401.39,16287.7
2026-06-01,Neutrogena Deep Clean Intensive Gel de Limpieza Facial Grapefruit 150 g,7891010972226.0,10295.0,,9368.0,,,,10300.0,,11212.31,
2026-06-01,Neutrogena Hydro Boost Water Gel 50 g,7891010882983.0,24961.0,31201.0,,,,,25200.0,31500.0,31200.78,
2026-06-01,Bagóvit A Emulsión Nutritiva Humectante 350 g,7790375267285.0,23365.0,,21634.0,,21634.0,,19700.0,,23365.0,
2026-06-01,Bagóvit Pro Bio Anti-Manchas FPS 40 Crema Facial 50 ml,7790375269357.0,18700.0,37401.0,34630.0,,,,33200.0,,34629.55,
2026-06-01,Avène Cicalfate Crema Reparadora 40 ml,7799075001380.0,45000.0,,40500.0,45000.0,,,45000.0,,45000.0,
2026-06-01,Aveno Emulsión Corporal Pieles Sensibles 400 ml,7793742004391.0,39616.0,52822.0,39616.0,52822.0,41146.0,54881.78,36899.8,52714.0,54881.78,
2026-06-01,A-Derma Exomega Control Crema Emoliente 400 ml,7798095419724.0,27240.0,,79200.0,88000.0,,,88000.0,,88000.0,
2026-06-01,Elvive Dream Liso Serum 100 ml,7509552979558.0,19990.0,,19990.0,,,,13000.2,21667.0,9995.0,19990.0
2026-06-01,Maybelline Lash Sensational Sky High Waterproof 7.2 ml,41554590500.0,32893.0,46990.0,,,,,32893.0,46990.0,32893.0,46990.0
2026-06-01,L'Oréal Paris Revitalift Retinol Día 50 ml,7509552898255.0,48990.0,,48990.0,,,,54000.0,,48990.0,
2026-06-01,Dove Sérum Corporal Tono Uniforme Niacinamida 400 ml,7506306252875.0,15546.0,25910.0,,,,,15500.4,25834.0,,
2026-06-01,AMPK Creatina HCL Ultra Concentrada 60 cápsulas,,37240.0,53200.0,,,37240.0,53200.0,37240.0,53200.0,53200.0,
2026-06-01,Ultraflex Gluco Colágeno Hidrolizado 15 sobres,7795371459672.0,19876.0,26501.0,27500.0,,23320.0,27500.0,27500.0,,29700.0,
2026-06-01,ENA Creatina Monohidrato Micronizada 300 g,7792981010026.0,40000.0,,30000.0,40000.0,30900.0,40000.0,28000.0,40000.0,32000.0,40000.0
2026-06-01,Cetaphil Crema Hidratante 453 g,3466320012838.0,40412.0,57731.0,40412.0,57731.0,,,40425.0,57750.0,62349.42,
2026-06-01,Cetaphil Limpiador Crema Espuma Hidratante 473 ml,3499320015615.0,35909.0,51299.0,32263.0,46090.0,,,35909.99,51299.99,38781.4,55402.0
2026-06-02,Nivea Sun Tono Medio,4006000172521.0,18420.0,28339.0,18420.0,28338.0,19820.0,30515.0,19399.8,32333.0,17046.33,26225.13
2026-06-02,Vichy Capital Soleil,3337875892308.0,58696.0,83852.0,58696.0,83852.0,60973.0,87118.0,,,58696.4,83852.0
2026-06-02,Caviahue Contorno de Ojos,7798120266446.0,41300.0,59000.0,,,41299.0,59000.0,41300.0,59000.0,41300.0,59000.0
2026-06-02,Maybelline Rubor Líquido Face Sunkisser,3600531694180.0,36990.0,,25893.0,36990.0,,,25893.0,36990.0,18495.0,36990.0
2026-06-02,Isdin Fusion Water Magic,8429420248977.0,,,47739.0,73445.0,47724.0,73445.0,47710.0,73400.0,47739.33,73445.12
2026-06-02,102 Magnesio Citrato Vitaminas Y Minerales Gummies 90 Unidades,7791984001529.0,16931.0,21164.0,15874.0,21166.0,17780.0,21166.79,14816.75,21166.78,21166.79,
2026-06-02,Serum Ojos Anti Ojeras Glycolic Bright L´Oreal Paris,7509552962512.0,42990.0,,42990.0,,,,47000.0,,42990.0,
2026-06-02,Brillo Labial Voluminizador Maybelline Lifter Plump,41554080704.0,23093.0,32990.0,23093.0,32990.0,,,23659.99,33799.99,23093.0,32990.0
2026-06-02,L'oréal Paris Revitalift Sérum Ácido Hialurónico 30ml,7509552843620.0,28194.0,46990.0,46990.0,,,,30500.4,50834.0,28194.0,46990.0
2026-06-02,Agua Micelar Skin Active Con Ácido Salicílico 400ml,7509552875416.0,21990.0,,15393.0,21990.0,,,,,15393.0,21990.0
2026-06-02,Oleo Capilar Elvive Oleo Extraordinario x100ml,7509552874204.0,17990.0,,19990.0,,,,13000.2,21667.0,,
2026-06-02,Leche Infantil Nutrilon Profutura 3 Pack 24 x 200 ml,7795323775348.0,67948.0,,34896.0,69792.0,34896.0,69792.0,69792.0,,34896.0,69792.0
2026-06-02,La Roche-Posay Hyalu B5 Serum Suractivado 30 ml,3337875920582.0,80941.0,134902.0,,,94421.0,134902.0,94431.4,134902.0,94431.4,134902.0
2026-06-02,Perpiel Emulsión Corporal Humectación Profunda con Fragancia 400 g,7792175010023.0,19996.0,,13997.0,19996.0,,,11997.37,19995.61,15116.68,21595.26
2026-06-02,La Roche-Posay Anthelios UV Air SPF 50 40 ml,3337875917810.0,,,,,37490.0,62500.0,37500.0,62500.0,37500.0,62500.0
2026-06-02,Megacistin Max Fortalecedor Anti-Caída 30 comprimidos,7791984000720.0,,,22181.0,31687.0,25350.0,31687.75,22181.43,31687.75,,
2026-06-02,Perpiel Contorno de Ojos Antiage 15 ml,7792175011365.0,30682.0,,,,,,30681.12,,,
2026-06-02,Dermaglós Protector Solar Facial Fluido Invisible FPS 50 50 g,7793742004933.0,19659.0,30244.0,15122.0,30244.0,22553.0,34719.74,19200.0,32000.0,22567.82,34719.73
2026-06-02,La Roche-Posay Toleriane Sensitive Hidratante 40 ml,3337875578486.0,54735.0,72980.0,54734.0,72979.0,54724.0,72979.0,58383.2,72979.0,54734.25,72979.0
2026-06-02,Caviahue Agua Termal Volcánica 170 ml,7798120265869.0,25200.0,36000.0,25200.0,36000.0,,,24000.2,34286.0,25200.0,36000.0
2026-06-02,Vichy Mineral 89 Concentrado Fortificante y Reconstituyente 50 ml,3337875543248.0,65453.0,93505.0,60605.0,86579.0,65443.0,93505.0,65450.0,93500.0,65453.5,93505.0
2026-06-02,Vichy Liftactiv Collagen Specialist 16 50 ml,3337875945851.0,86409.0,123442.0,86410.0,123443.0,86400.0,123443.0,86415.0,123450.0,86410.1,123443.0
2026-06-02,CeraVe Crema Hidratante 454 ml,3337875597388.0,47502.0,59378.0,47502.0,59377.0,47492.0,59377.0,47520.0,59400.0,47501.6,59377.0
2026-06-02,CeraVe Loción Hidratante 236 ml,3337875597210.0,25613.0,32016.0,25613.0,32016.0,25603.0,32016.0,25600.0,32000.0,25612.8,32016.0
2026-06-02,ISDIN Fusion Water Color FPS 50 50 ml,8429420154186.0,51412.0,73446.0,,,51397.0,73445.0,51415.0,73450.0,51411.58,73445.12
2026-06-02,Bioderma Atoderm Crème Ultra Hidratante 500 ml,3701129805343.0,,,,,,,76530.25,,76530.26,
2026-06-02,Bioderma Sensibio Gel Moussant 200 ml,3401381507565.0,65146.0,,,,52114.0,65146.59,65146.59,,52117.27,65146.59
2026-06-02,Eximia Hyalu Sensitive Gel Crema Facial 50 g,7798178624403.0,,,43200.0,48000.0,,,48000.0,,,
2026-06-02,Cepage Atophen Sensitive Emulsión 40 ml,7798178624328.0,38500.0,,34650.0,38500.0,,,38500.0,,,
2026-06-02,Eucerin Aquaphor Reparador de Labios SOS 10 ml,4005800268731.0,41947.0,,37752.0,41947.0,41947.0,,41950.0,,33557.59,41946.99
